,movieid,avg_vote,votes
0,tt0007338,6.4,313
1,tt0013597,5.8,551
2,tt0023460,5.7,131
3,tt0029210,7.1,676
4,tt0988045,7.6,574055
5,tt0012382,6.1,268
6,tt0013704,6,118
7,tt0039912,6.4,946
8,tt5990444,4.3,1182
9,tt0015136,7.1,1540
10,tt0117038,5.7,40367
11,tt1754202,5.3,120
12,tt1906426,6.9,4487
13,tt0016123,6.2,906
14,tt3757216,2.7,192
15,tt3976144,5.4,15314
16,tt0018397,6.9,498
17,tt0018455,8.1,46069
18,tt0128059,3.5,192
19,tt1403047,6.6,1632
20,tt2208216,6,2502
21,tt8396182,7.4,106
22,tt8553606,6.8,793
23,tt8821182,4.3,480
24,tt0020640,7.5,13341
25,tt4155534,5.8,1931
26,tt0021324,5.2,208
27,tt0022913,7.9,41173
28,tt8781414,6.7,23654
29,tt0023818,6.9,298
30,tt1753521,3.2,539
31,tt2246595,5,945
32,tt4594286,5.7,721
33,tt0024897,6.1,207
34,tt0086978,4.8,764
35,tt0115702,6.7,206
36,tt0480268,5.8,839
37,tt0027669,4.7,159
38,tt0028331,6,813
39,tt0030169,6.4,104
40,tt0217505,7.5,396984
41,tt0031394,6.8,488
42,tt0990407,5.8,153763
43,tt0032258,6.3,1968
44,tt0218053,3.2,192
45,tt0400234,8.5,18180
46,tt0033214,5.9,253
47,tt0034828,7.1,1077
48,tt9815714,4.8,2357
49,tt0035423,6.4,77852
50,tt0035798,6.5,1112
51,tt1545304,5.2,6961
52,tt0035916,6.6,1540
53,tt7755856,6.2,1719
54,tt0035969,5.9,160
55,tt4553434,6.5,147
56,tt0036323,7.5,7776
57,tt0086232,5,1371
58,tt0318649,6,90793
59,tt4466894,5.6,2331
60,tt0036757,6.3,128
61,tt0037638,7.4,14504
62,tt1753693,5.2,798
63,tt0039829,6.5,450
64,tt0041161,7.9,535
65,tt0112459,5.4,1124
66,tt0041414,6.2,225
67,tt0051658,6.7,19203
68,tt0042578,6.4,103
69,tt0043669,6.8,873
70,tt0043899,7,3240
71,tt0044614,6,106
72,tt0964517,7.8,334145
73,tt0044761,7.4,101
74,tt0045091,6.1,671
75,tt0178868,7.2,62269
76,tt0298130,7.1,315069
77,tt0046703,7,158
78,tt1170389,4.8,271
79,tt5479616,5.2,3432
80,tt9626774,5.2,121
81,tt0047437,7.7,57694
82,tt0114319,6.3,35970
83,tt7981492,4.2,1397
84,tt0047561,7.1,246
85,tt0075314,8.3,703264
86,tt0048166,6.4,326
87,tt8865580,5.4,555
88,tt0051346,6.5,196
89,tt0053965,7.4,407
90,tt0055401,6.3,166
91,tt6951892,4.4,4074
92,tt0056193,7.6,90641
93,tt0119558,6.9,51001
94,tt0056379,7.1,225
95,tt0057120,7,131
96,tt0107060,6.3,642
97,tt0058547,7.5,1501
98,tt0059448,7.3,4187
99,tt0113827,5,163
100,tt0121556,5.5,316
101,tt0060104,6.7,172
102,tt0062032,5.4,962
103,tt0079039,3.8,222
104,tt2069797,5.7,6114
105,tt2322415,2.9,235
106,tt3131050,3.2,739
107,tt3778394,4.5,337
108,tt0064055,5.7,430
109,tt0064506,7.4,917
110,tt6692354,7.2,9875
111,tt0065917,6,204
112,tt5350358,6.3,839
113,tt5639446,5.9,5188
114,tt0068257,8,3534
115,tt0069067,7.1,707
116,tt0069458,8,617
117,tt5862312,6.2,34261
118,tt0069810,7.1,1662
119,tt0308055,7,40767
120,tt0960734,3.7,613
121,tt7166214,6.6,212
122,tt0071225,4.6,409
123,tt0071811,6.9,203
124,tt0072064,7.3,584
125,tt0072074,6.5,124
126,tt5820812,5.7,242
127,tt0072285,6.4,6616
128,tt7671414,3.7,886
129,tt0072783,8.3,11306
130,tt0072972,7,293
131,tt4984868,5.4,245
132,tt0073104,6.8,937
133,tt0242519,8.2,55000
134,tt0075148,8.1,506246
135,tt0215132,6.9,576
136,tt0814295,4,310
137,tt0075249,6.9,1387
138,tt0790751,6,892
139,tt0075454,7.3,808
140,tt0075669,7.5,6999
141,tt8107464,4.3,884
142,tt0075787,6.6,113
143,tt0765010,7.1,109275
144,tt3802576,6.5,11436
145,tt0077451,7.8,11031
146,tt0461936,7.2,33662
147,tt0798780,5.7,157
148,tt1169270,5.5,859
149,tt0077573,5.4,175
150,tt0312700,3.4,6275
151,tt1615160,7,96216
152,tt2170623,6.7,1627
153,tt0077749,6.4,105
154,tt1302006,7.9,304528
155,tt0078356,4.9,410
156,tt3099498,5.3,45366
157,tt0079221,8.6,17381
158,tt0079236,6.5,566
159,tt0079643,6.3,227
160,tt6214928,6.3,49788
161,tt0079687,6.8,167
162,tt10303892,5.2,1198
163,tt2011311,6.3,19548
164,tt2198241,4.7,2475
165,tt0079749,6.2,477
166,tt0079756,6.7,662
167,tt0417976,5.6,8883
168,tt4776998,6,167369
169,tt0079817,7.3,187094
170,tt0080653,6.7,875
171,tt0082017,6.7,299
172,tt0118614,6.7,746
173,tt3007924,2,256
174,tt0082162,8,2186
175,tt0082594,6.9,1286
176,tt0082964,6.4,1156
177,tt1441951,6.8,18867
178,tt0083331,6.3,259
179,tt0084385,7.3,2283
180,tt0084602,6.8,169852
181,tt0084630,7.2,2977
182,tt0085210,7.2,13560
183,tt0112442,6.9,235440
184,tt0085278,6.3,114
185,tt0088864,7.3,190
186,tt0085763,5,200
187,tt1465490,6,261
188,tt2446980,6.6,125572
189,tt8917752,6.6,1016
190,tt0085776,7.9,1041
191,tt0085896,7.6,659
192,tt0085913,8.4,3542
193,tt0086156,6,305
194,tt0218533,6.8,2164
195,tt0086230,8.4,2852
196,tt0086971,4.9,324
197,tt5431600,3.3,2573
198,tt0086980,4.8,492
199,tt0087844,6.2,163
200,tt5358948,3.1,1059
201,tt0087927,6,124
202,tt4139588,6.3,70883
203,tt0089469,6.5,58567
204,tt3381068,3.4,313
205,tt3555036,6.3,1684
206,tt3569230,6.9,153742
207,tt0089601,6.6,5567
208,tt0089927,6.9,182619
209,tt0090202,7,223
210,tt0091763,8.1,373386
211,tt0093378,6.9,27891
212,tt0095690,6.3,24303
213,tt0096054,6,6271
214,tt0096270,4.4,111
215,tt4396648,6.1,285
216,tt0097202,7.8,44986
217,tt0833484,4.6,1013
218,tt0097224,3.7,327
219,tt0421054,5.9,64123
220,tt3282076,4.4,4137
221,tt0097466,5.6,102
222,tt0133826,8.4,2537
223,tt0187108,6.6,465
224,tt0499375,7.7,21553
225,tt6010240,7.9,589
226,tt0098993,7,247
227,tt1147681,5.1,169
228,tt1249363,5.5,497
229,tt1799508,5.5,5083
230,tt4126476,5.4,30745
231,tt0098996,4.3,267
232,tt1393746,7.5,8564
233,tt1780762,4.8,11087
234,tt0098999,7.7,8142
235,tt1849718,6.9,21895
236,tt0099429,6.7,4794
237,tt0367657,7,249
238,tt0099652,7.6,3885
239,tt0100095,7.3,10516
240,tt0100156,5.7,1396
241,tt0100172,5.1,587
242,tt5690142,7.3,8481
243,tt0100507,5.3,124333
244,tt0100814,7.1,117345
245,tt0102166,4.6,704
246,tt1918886,2.4,4953
247,tt5611648,8.4,2867
248,tt7286456,8.5,855097
249,tt0102746,4,415
250,tt1185442,5.7,4627
251,tt0102818,6.3,2518
252,tt0331621,7,810
253,tt0411815,4.8,1228
254,tt2215457,4.7,1773
255,tt2375473,6.2,117
256,tt0103772,7,170177
257,tt0103881,6.3,111
258,tt0907842,6.9,163
259,tt0103920,4.4,106
260,tt0780492,6.5,977
261,tt0104540,4.8,133
262,tt0229486,5.9,101
263,tt0261755,5.6,528
264,tt10381126,5.2,331
265,tt1390841,5.4,104
266,tt3309662,2,686
267,tt0104741,5.5,285
268,tt3756788,7.5,11855
269,tt5434870,6.3,3431
270,tt0106278,4.2,178
271,tt0107818,7.7,219688
272,tt0108052,8.9,1183248
273,tt0108162,5.1,28543
274,tt0108237,4.7,103
275,tt0109093,6.9,5555
276,tt5580392,5.9,3452
277,tt0109117,8.2,48384
278,tt0109498,3.9,515
279,tt1071880,5.9,2581
280,tt0109550,6.1,1910
281,tt0110222,7.8,17001
282,tt0110912,8.9,1780147
283,tt0111212,3.5,135
284,tt0284494,7.1,1346
285,tt0111756,6.7,44565
286,tt0111780,3.8,105
287,tt0112453,7.1,38920
288,tt0112735,4.8,184
