movieid,title,country,film_language,release_year,duration
tt0007338,Sherlock Holmes,USA,English,2009,116
tt0013597,Sherlock Holmes,USA,English,2009,85
tt0023460,Sherlock Holmes,USA,English,2009,68
tt0029210,Sherlock Holmes,Germany,German,2009,116
tt0988045,Sherlock Holmes,"USA, Germany, UK, Australia","English, French",2009,128
tt0012382,Leap Year,USA,English,2010,56
tt0013704,The Trap,USA,English,2017,60
tt0039912,The Trap,USA,English,2017,68
tt5990444,The Trap,USA,,2017,90
tt0015136,Michael,Germany,,2011,93
tt0117038,Michael,USA,"English, Portuguese",2011,105
tt1754202,Michael,India,Hindi,2011,97
tt1906426,Michael,Austria,German,2011,96
tt0016123,The Monster,USA,English,2016,86
tt3757216,The Monster,"Iran, Cyprus",Persian,2016,59
tt3976144,The Monster,Canada,English,2016,91
tt0018397,The Show,USA,English,2017,76
tt0018455,Aurora,USA,English,2010,94
tt0128059,Aurora,USA,English,2010,87
tt1403047,Aurora,"Romania, France, Switzerland, Germany",Romanian,2010,181
tt2208216,Aurora,"Lithuania, France, Belgium","Lithuanian, English, French",2010,124
tt8396182,Aurora,Kyrgyzstan,"Kirghiz, Russian",2010,98
tt8553606,Aurora,Finland,"Finnish, English, Persian",2010,106
tt8821182,Aurora,Philippines,"Tagalog, Filipino",2010,110
tt0020640,Animal Crackers,USA,English,2020,97
tt4155534,Animal Crackers,"China, Spain, South Korea, USA",English,2020,105
tt0021324,Runaway Bride,USA,English,1999,69
tt0022913,Freaks,USA,"English, German, French",2018,64
tt8781414,Freaks,"Canada, USA",English,2018,105
tt0023818,Blood Money,USA,English,2012,65
tt1753521,Blood Money,Australia,English,2012,109
tt2246595,Blood Money,India,"Hindi, English",2012,109
tt4594286,Blood Money,"UK, France",English,2012,78
tt0024897,Blind Date,USA,English,2015,72
tt0086978,Blind Date,"UK, Greece",English,2015,103
tt0115702,Blind Date,Netherlands,Dutch,2015,90
tt0480268,Blind Date,"USA, UK","English, French",2015,80
tt0027669,Ghost Patrol,USA,English,2016,60
tt0028331,Sweeney Todd: The Demon Barber of Fleet Street,UK,English,2007,76
tt0030169,Gangs of New York,USA,English,2002,67
tt0217505,Gangs of New York,"USA, Italy","English, Irish, Chinese, Latin",2002,167
tt0031394,The Green Hornet,USA,English,2011,258
tt0990407,The Green Hornet,USA,"English, Mandarin",2011,119
tt0032258,Black Friday,USA,English,2004,70
tt0218053,Black Friday,USA,English,2004,95
tt0400234,Black Friday,India,Hindi,2004,143
tt0033214,Up in the Air,USA,English,2009,62
tt0034828,The Hard Way,USA,English,2019,109
tt9815714,The Hard Way,USA,English,2019,92
tt0035423,Kate & Leopold,USA,"English, French",2001,118
tt0035798,Desperados,USA,English,2020,87
tt1545304,Desperados,USA,English,2020,105
tt0035916,Banana Split,USA,"English, Portuguese",2020,103
tt7755856,Banana Split,USA,"English, German",2020,88
tt0035969,Happy Go Lucky,USA,English,2014,81
tt4553434,Happy Go Lucky,India,Punjabi,2014,129
tt0036323,Sahara,USA,"English, German, Italian, French",2017,97
tt0086232,Sahara,"UK, USA",English,2017,111
tt0318649,Sahara,"UK, Spain, Germany, USA, France","English, French, Arabic",2017,124
tt4466894,Sahara,"France, Canada","English, French",2017,86
tt0036757,Destiny,USA,English,1997,65
tt0037638,Detour,USA,English,2016,68
tt1753693,Detour,USA,English,2016,87
tt0039829,Singapore,USA,English,1960,79
tt0041161,Barsaat,India,Hindi,1995,171
tt0112459,Barsaat,India,Hindi,1995,166
tt0041414,Gigi,France,French,1958,82
tt0051658,Gigi,USA,"English, French",1958,115
tt0042578,Hot Rod,USA,English,2007,61
tt0043669,I'll See You in My Dreams,USA,English,2015,110
tt0043899,Pandora,UK,"English, Spanish",2016,122
tt0044614,The Fighter,USA,English,2010,78
tt0964517,The Fighter,USA,English,2010,116
tt0044761,Jaal,India,Hindi,1986,165
tt0045091,The Ring,USA,"English, Spanish",2002,79
